brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
53,48156.0,3,1,0,0,40368.0,5,1,332.2838386995936,4.0,471
36,4700.0,4,1,0,1,99900.0,3,2,496.0,4.0,390
3,39071.0,3,1,0,0,67900.0,7,2,332.2838386995936,4.0,26
36,53500.0,3,1,1,1,33999.0,7,1,362.0,3.0,368
14,44000.0,0,1,1,1,73000.0,3,2,475.0,6.7,195
54,11000.0,3,1,0,1,27900.0,2,1,184.0,2.0,508
4,103000.0,3,1,0,1,16000.0,12,0,407.0,4.4,67
27,64000.0,3,1,0,1,37300.0,6,1,301.0,4.6,312
3,108000.0,3,1,0,1,25999.0,7,1,333.0,3.0,23
1,37045.0,3,1,1,1,26600.0,6,1,280.0,2.0,12
26,5433.0,4,1,0,0,95998.0,1,2,332.2838386995936,3.0,308
4,28744.0,3,1,0,0,50998.0,5,2,332.2838386995936,4.4,67
4,65800.0,3,1,0,1,44950.0,9,1,425.0,3.0,73
3,33012.0,2,1,0,1,38000.0,5,1,355.0,0.0,39
